Xc1	Xc2	Xp1	Xp2	Xi1	Xi2	Xs1	Xs2	Xs3	Xs4	Xs5	Xs6	Xs7	Xs8	Xs9	Xs10	Xs11	Xs12	Xs13	Xs14
0.801	0.852	1	1	0.531	0.206	0.81	0.365	0.181	0.412	0.279	0.57	0.108	0.311	0.245	0.171	0.304	0.112	0.111	0.677
0.456	0.522	1	1	0.519	0.215	0.385	0.33	0.21	0.33	0.229	0.233	0.154	0.18	0.183	0.436	0.324	0.321	0.114	0.2
0.371	0.6	1	1	0.297	0.315	0.154	0.206	0.25	0.174	0.213	0.3	0.171	0.166	0.261	0.162	0.198	0.454	0.35	0.335
0.414	0.925	1	1	0.659	0.581	0.191	0.571	0.24	0.154	0.197	0.326	0.563	0.225	0.169	0.182	0.138	0.461	0.137	0.22
0.981	0.961	1	1	0.452	0.205	0.193	0.184	0.194	0.339	0.181	0.533	0.253	0.556	0.553	0.188	0.46	0.386	0.211	0.265
0.543	0.707	1	1	0.452	0.22	0.275	0.217	0.254	0.918	0.433	0.187	0.532	0.136	0.127	0.624	0.315	0.162	0.526	0.268
0.899	0.714	1	1	0.47	0.132	0.365	0.119	0.1	0.047	0.062	0.236	0.417	0.093	0.112	0.42	0.157	0.264	0.079	0.127
0.232	0.221	1	1	0.585	0.196	0.138	0.295	0.566	0.437	0.199	0.393	0.669	0.405	0.143	0.147	0.603	0.618	0.488	0.565
0.986	0.893	1	1	0.856	0.169	0.599	0.237	0.242	0.248	0.23	0.21	0.128	0.206	0.125	0.137	0.195	0.194	0.154	0.174
0.98	0.651	1	1	0.268	0.194	0.337	0.37	0.362	0.766	0.17	0.256	0.723	0.207	0.407	0.641	0.567	0.318	0.155	0.408
0.786	0.374	1	1	0.311	0.258	0.235	0.147	0.214	0.798	0.347	0.191	0.176	0.322	0.367	0.289	0.143	0.301	0.39	0.603
0.267	0.713	1	1	0.819	0.328	0.221	0.261	0.411	0.231	0.527	0.221	0.087	0.567	0.295	0.735	0.365	0.144	0.316	0.167
0.988	0.594	1	1	0.452	0.353	0.286	0.185	0.423	0.319	0.186	0.277	0.708	0.267	0.249	0.83	0.17	0.262	0.166	0.181
0.668	0.622	1	1	0.356	0.353	0.238	0.226	0.123	0.316	0.392	0.375	0.154	0.298	0.671	0.097	0.82	0.214	0.173	0.311
0.916	0.972	1	1	0.284	0.43	0.332	0.111	0.39	0.283	0.135	0.159	0.166	0.276	0.211	0.194	0.524	0.155	0.202	0.201
0.984	0.766	1	1	0.184	0.194	0.381	0.387	0.377	0.188	0.183	0.317	0.178	0.179	0.592	0.136	0.277	0.131	0.176	0.169
0.899	0.825	1	1	0.249	0.223	0.647	0.131	0.149	0.427	0.162	0.144	0.163	0.51	0.111	0.18	0.147	0.096	0.129	0.221
1	0.44	1	1	0.199	0.413	0.35	0.155	0.175	0.166	0.158	0.137	0.178	0.231	0.6	0.142	0.626	0.257	0.129	0.874
0.802	0.991	1	1	0.833	0.202	0.183	0.19	0.642	0.443	0.157	0.288	0.401	0.169	0.155	0.134	0.436	0.202	0.128	0.484
0.969	0.957	1	1	0.434	0.151	0.464	0.343	0.515	0.422	0.217	0.146	0.143	0.705	0.207	0.506	0.115	0.578	0.179	0.127
0.785	0.927	1	1	0.214	0.182	0.175	0.164	0.55	0.874	0.31	0.098	0.258	0.296	0.687	0.151	0.159	0.141	0.343	0.154
0.986	0.912	1	1	0.238	0.801	0.113	0.228	0.169	0.165	0.657	0.447	0.554	0.255	0.159	0.103	0.087	0.132	0.118	0.216
0.685	0.238	1	1	0.209	0.318	0.163	0.555	0.218	0.278	0.192	0.197	0.18	0.168	0.456	0.215	0.321	0.538	0.26	0.181
0.868	0.993	1	1	0.185	0.347	0.286	0.452	0.209	0.344	0.128	0.127	0.331	0.811	0.13	0.119	0.115	0.147	0.112	0.127
0.983	0.983	1	1	0.268	0.352	0.367	0.429	0.393	0.529	0.19	0.165	0.199	0.658	0.12	0.392	0.387	0.159	0.165	0.288
0.989	0.999	1	1	0.449	0.142	0.28	0.123	0.235	0.361	0.529	0.136	0.083	0.335	0.482	0.492	0.134	0.054	0.113	0.094
0.904	0.439	1	1	0.508	0.239	0.222	0.305	0.212	0.229	0.273	0.198	0.134	0.141	0.248	0.238	0.174	0.338	0.331	0.16
0.913	0.919	1	1	0.19	0.24	0.135	0.173	0.133	0.345	0.172	0.092	0.178	0.489	0.446	0.238	0.189	0.297	0.525	0.393
0.978	0.998	1	1	0.322	0.493	0.174	0.15	0.197	0.223	0.18	0.107	0.097	0.435	0.408	0.123	0.143	0.153	0.358	0.438
0.975	0.942	1	1	0.377	0.442	0.432	0.226	0.116	0.512	0.262	0.616	0.162	0.166	0.175	0.357	0.324	0.179	0.398	0.195
0.994	0.91	1	1	0.147	0.763	0.14	0.169	0.181	0.537	0.097	0.318	0.158	0.233	0.311	0.601	0.146	0.2	0.3	0.438
0.899	0.982	1	1	0.444	0.248	0.361	0.111	0.173	0.136	0.216	0.222	0.135	0.231	0.126	0.13	0.16	0.105	0.618	0.325
0.441	0.639	1	1	0.248	0.314	0.184	0.745	0.231	0.154	0.216	0.206	0.225	0.639	0.175	0.222	0.208	0.427	0.156	0.172
0.993	0.942	1	1	0.228	0.167	0.129	0.193	0.087	0.731	0.272	0.165	0.406	0.092	0.264	0.594	0.612	0.179	0.243	0.367
0.251	0.948	1	1	0.61	0.276	0.138	0.12	0.12	0.183	0.215	0.152	0.455	0.205	0.27	0.112	0.655	0.625	0.427	0.289
0.828	0.979	1	1	0.482	0.221	0.4	0.14	0.302	0.425	0.233	0.569	0.159	0.216	0.415	0.249	0.237	0.207	0.146	0.371
0.949	0.868	1	1	0.292	0.31	0.181	0.782	0.131	0.51	0.439	0.144	0.167	0.153	0.705	0.121	0.474	0.156	0.449	0.245
0.995	0.302	1	1	0.595	0.232	0.117	0.128	0.471	0.234	0.153	0.166	0.111	0.113	0.253	0.844	0.344	0.171	0.115	0.166
0.99	0.992	1	1	0.416	0.225	0.224	0.14	0.228	0.421	0.127	0.395	0.676	0.783	0.222	0.875	0.157	0.19	0.217	0.367
0.932	0.765	1	1	0.398	0.389	0.51	0.498	0.81	0.172	0.441	0.18	0.217	0.169	0.216	0.186	0.197	0.373	0.352	0.165
0.251	0.853	1	1	0.497	0.291	0.488	0.627	0.198	0.377	0.33	0.232	0.194	0.19	0.571	0.211	0.238	0.611	0.354	0.323
0.981	0.905	1	1	0.446	0.63	0.178	0.231	0.347	0.336	0.418	0.308	0.164	0.216	0.494	0.149	0.389	0.271	0.248	0.262
0.965	0.881	1	1	0.491	0.25	0.135	0.214	0.157	0.319	0.109	0.347	0.315	0.501	0.162	0.16	0.207	0.614	0.193	0.209
0.825	0.951	1	1	0.532	0.351	0.151	0.222	0.333	0.248	0.354	0.259	0.156	0.132	0.28	0.211	0.351	0.193	0.206	0.261
0.97	1	1	1	0.456	0.156	0.167	0.496	0.455	0.93	0.22	0.355	0.193	0.327	0.147	0.219	0.398	0.305	0.124	0.196
0.624	0.861	1	1	0.346	0.131	0.085	0.079	0.286	0.145	0.147	0.194	0.129	0.124	0.172	0.155	0.195	0.599	0.136	0.154
0.466	0.981	1	1	0.403	0.471	0.51	0.745	0.332	0.214	0.586	0.41	0.263	0.176	0.194	0.216	0.234	0.199	0.283	0.36
0.998	0.889	1	1	0.206	0.198	0.147	0.282	0.199	0.365	0.266	0.269	0.182	0.418	0.608	0.154	0.433	0.183	0.116	0.152
0.721	0.971	1	1	0.437	0.534	0.473	0.293	0.209	0.163	0.585	0.21	0.47	0.341	0.143	0.179	0.272	0.462	0.162	0.171
0.998	0.874	1	1	0.306	0.613	0.3	0.275	0.472	0.444	0.234	0.276	0.288	0.21	0.243	0.196	0.204	0.401	0.175	0.174
0.406	0.277	1	1	0.203	0.259	0.429	0.25	0.16	0.186	0.162	0.137	0.372	0.505	0.16	0.564	0.146	0.543	0.246	0.173
0.924	0.489	1	1	0.345	0.289	0.244	0.675	0.136	0.136	0.209	0.337	0.171	0.511	0.274	0.174	0.132	0.132	0.247	0.422
0.984	0.97	1	1	0.458	0.429	0.17	0.317	0.232	0.25	0.107	0.831	0.154	0.476	0.208	0.853	0.379	0.224	0.198	0.116
0.972	0.385	1	1	0.482	0.382	0.169	0.096	0.134	0.13	0.3	0.143	0.103	0.14	0.499	0.113	0.153	0.099	0.314	0.139
0.985	0.925	1	1	0.584	0.291	0.26	0.308	0.178	0.483	0.155	0.378	0.434	0.156	0.174	0.436	0.154	0.68	0.327	0.505
0.832	0.992	1	1	0.553	0.15	0.255	0.149	0.259	0.099	0.087	0.099	0.379	0.103	0.308	0.166	0.39	0.145	0.188	0.116
0.533	0.943	1	1	0.472	0.316	0.169	0.096	0.272	0.16	0.138	0.318	0.089	0.175	0.079	0.764	0.702	0.315	0.17	0.095
0.933	0.916	1	1	0.443	0.69	0.414	0.355	0.461	0.212	0.169	0.234	0.694	0.192	0.43	0.153	0.175	0.185	0.324	0.291
0.942	0.776	1	1	0.186	0.231	0.169	0.159	0.503	0.257	0.196	0.419	0.376	0.167	0.227	0.445	0.237	0.373	0.86	0.517
0.264	0.728	1	1	0.228	0.246	0.291	0.412	0.207	0.338	0.166	0.214	0.894	0.213	0.602	0.193	0.298	0.587	0.257	0.162
0.704	0.496	1	1	0.226	0.943	0.175	0.592	0.613	0.195	0.544	0.574	0.138	0.092	0.312	0.306	0.362	0.439	0.414	0.147
0.92	0.753	1	1	0.257	0.249	0.212	0.163	0.081	0.171	0.29	0.241	0.586	0.231	0.109	0.161	0.129	0.255	0.256	0.426
0.991	0.889	0.994	1	0.563	0.585	0.156	0.15	0.439	0.519	0.13	0.151	0.43	0.231	0.156	0.154	0.144	0.147	0.249	0.454
0.99	0.631	1	1	0.76	0.444	0.123	0.234	0.19	0.278	0.137	0.253	0.244	0.091	0.522	0.074	0.234	0.86	0.648	0.104
0.861	0.616	1	1	0.201	0.568	0.281	0.268	0.2	0.19	0.399	0.257	0.171	0.171	0.61	0.404	0.63	0.255	0.123	0.644
0.698	0.807	1	1	0.435	0.205	0.366	0.762	0.173	0.146	0.442	0.17	0.16	0.234	0.133	0.167	0.228	0.522	0.324	0.126
0.849	0.201	1	1	0.508	0.138	0.15	0.129	0.651	0.824	0.131	0.071	0.904	0.842	0.308	0.16	0.533	0.556	0.169	0.233
0.356	0.443	1	1	0.317	0.329	0.453	0.375	0.174	0.161	0.408	0.311	0.663	0.282	0.807	0.378	0.331	0.175	0.328	0.209
