Xc1	Xc2	Xp1	Xp2	Xi1	Xi2	Xs1	Xs2	Xs3	Xs4	Xs5	Xs6	Xs7	Xs8	Xs9	Xs10	Xs11	Xs12	Xs13	Xs14
1	1	1	1	0.016	0.062	0.394	0.107	0.028	0.125	0.022	0.146	0.015	0.059	0.023	0.025	0.068	0.009	0.012	0.279
0.999	1	1	1	0.033	0.023	0.076	0.056	0.041	0.063	0.015	0.038	0.009	0.024	0.013	0.06	0.059	0.082	0.01	0.016
0.998	0.999	1	1	0.057	0.022	0.009	0.016	0.039	0.006	0.023	0.048	0.014	0.011	0.038	0.008	0.015	0.082	0.06	0.053
0.997	1	1	1	0.133	0.178	0.031	0.112	0.033	0.017	0.037	0.083	0.139	0.017	0.027	0.025	0.014	0.138	0.017	0.055
1	1	0.993	1	0.09	0.012	0.021	0.02	0.015	0.078	0.019	0.141	0.04	0.132	0.186	0.015	0.133	0.087	0.029	0.042
1	1	1	1	0.055	0.023	0.063	0.02	0.079	0.496	0.037	0.025	0.06	0.02	0.012	0.182	0.081	0.017	0.088	0.071
1	1	1	1	0.281	0.015	0.051	0.027	0.01	0.005	0.003	0.02	0.095	0.015	0.006	0.053	0.018	0.038	0.02	0.01
0.997	1	1	1	0.079	0.046	0.023	0.024	0.132	0.126	0.02	0.041	0.151	0.079	0.027	0.029	0.206	0.156	0.077	0.119
1	1	1	1	0.316	0.012	0.203	0.017	0.044	0.076	0.046	0.056	0.01	0.032	0.015	0.011	0.029	0.03	0.019	0.024
1	1	1	1	0.025	0.017	0.076	0.032	0.074	0.206	0.029	0.063	0.213	0.033	0.165	0.205	0.177	0.065	0.017	0.062
1	1	1	1	0.105	0.025	0.035	0.021	0.047	0.332	0.035	0.017	0.03	0.087	0.079	0.034	0.018	0.063	0.095	0.122
1	1	1	1	0.431	0.02	0.055	0.066	0.186	0.065	0.211	0.071	0.017	0.244	0.041	0.327	0.131	0.021	0.079	0.032
1	0.999	1	1	0.06	0.017	0.026	0.009	0.055	0.064	0.015	0.041	0.144	0.038	0.022	0.336	0.008	0.027	0.015	0.013
1	1	1	1	0.134134134134134	0.131131131131131	0.0540540540540541	0.031031031031031	0.00900900900900901	0.049049049049049	0.0960960960960961	0.0890890890890891	0.033033033033033	0.0760760760760761	0.287287287287287	0.011011011011011	0.346346346346346	0.045045045045045	0.00700700700700701	0.04004004004004
1	1	1	1	0.003	0.04	0.021	0.006	0.052	0.038	0.005	0.012	0.012	0.04	0.017	0.011	0.082	0.008	0.017	0.021
1	1	1	1	0.016	0.065	0.061	0.037	0.031	0.006	0.022	0.031	0.011	0.011	0.126	0.012	0.015	0.007	0.008	0.021
1	1	1	1	0.011	0.069	0.296	0.016	0.018	0.093	0.018	0.015	0.009	0.2	0.012	0.015	0.016	0.011	0.015	0.035
1	0.999	1	1	0.015	0.077	0.095	0.028	0.015	0.041	0.018	0.033	0.024	0.045	0.294	0.019	0.232	0.043	0.023	0.593
1	1	1	1	0.2	0.021	0.027	0.016	0.26	0.137	0.014	0.043	0.055	0.013	0.017	0.02	0.074	0.023	0.013	0.124
1	1	1	1	0.131	0.015	0.158	0.105	0.195	0.129	0.043	0.033	0.018	0.426	0.031	0.167	0.021	0.201	0.029	0.022
1	1	1	1	0.021	0.018	0.02	0.026	0.215	0.544	0.066	0.005	0.073	0.058	0.383	0.018	0.025	0.032	0.069	0.017
1	1	0.999	1	0.016	0.275	0.014	0.037	0.029	0.03	0.219	0.096	0.159	0.053	0.02	0.021	0.007	0.017	0.021	0.041
1	0.956	1	1	0.005	0.009	0.009	0.051	0.016	0.027	0.009	0.028	0.009	0.011	0.049	0.009	0.05	0.047	0.02	0.012
1	1	1	1	0.015	0.106	0.067	0.164	0.051	0.112	0.031	0.032	0.102	0.509	0.008	0.023	0.016	0.028	0.014	0.012
1	1	1	1	0.015	0.017	0.107	0.078	0.102	0.183	0.033	0.031	0.043	0.318	0.018	0.049	0.061	0.019	0.022	0.041
1	1	1	1	0.055	0.012	0.13	0.042	0.08	0.12	0.179	0.02	0.015	0.083	0.141	0.193	0.017	0.007	0.026	0.035
1	1	1	1	0.039	0.008	0.01	0.02	0.012	0.02	0.016	0.009	0.006	0.004	0.027	0.013	0.006	0.025	0.027	0.004
1	1	1	1	0.045	0.058	0.026	0.017	0.011	0.092	0.021	0.006	0.025	0.107	0.115	0.023	0.029	0.031	0.184	0.06
1	1	1	1	0.024	0.077	0.04	0.018	0.017	0.027	0.035	0.011	0.011	0.084	0.067	0.01	0.018	0.021	0.078	0.071
1	1	1	1	0.011	0.009	0.086	0.033	0.008	0.161	0.038	0.132	0.008	0.023	0.028	0.041	0.061	0.016	0.071	0.021
1	1	1	1	0.031	0.065	0.025	0.016	0.022	0.141	0.009	0.073	0.012	0.029	0.061	0.191	0.011	0.028	0.052	0.06
1	1	1	1	0.086	0.037	0.09	0.016	0.018	0.022	0.03	0.054	0.019	0.034	0.016	0.008	0.018	0.01	0.323	0.118
0.998	1	1	1	0.03	0.015	0.016	0.242	0.02	0.009	0.018	0.027	0.037	0.17	0.013	0.031	0.028	0.082	0.017	0.028
