Xc1	Xc2	Xp1	Xp2	Xi1	Xi2	Xs1	Xs2	Xs3	Xs4	Xs5	Xs6	Xs7	Xs8	Xs9	Xs10	Xs11	Xs12	Xs13	Xs14
1	1	1	1	0.395	0.164	0.86	0.384	0.214	0.486	0.286	0.602	0.148	0.349	0.246	0.19	0.37	0.118	0.151	0.733
1	1	1	1	0.473	0.177	0.443	0.341	0.25	0.402	0.232	0.282	0.181	0.185	0.236	0.416	0.379	0.349	0.125	0.217
0.999	1	1	1	0.283	0.299	0.178	0.221	0.291	0.167	0.208	0.358	0.19	0.198	0.296	0.17	0.209	0.484	0.411	0.38
1	1	1	1	0.571	0.594	0.249	0.619	0.279	0.18	0.222	0.429	0.616	0.238	0.208	0.21	0.188	0.51	0.152	0.276
1	1	1	1	0.394	0.151	0.195	0.203	0.177	0.382	0.196	0.546	0.288	0.566	0.59	0.175	0.513	0.392	0.21	0.244
1	1	1	1	0.434	0.188	0.338	0.261	0.316	0.934	0.431	0.229	0.537	0.185	0.157	0.634	0.355	0.178	0.593	0.333
1	1	1	1	0.429	0.169	0.529	0.184	0.182	0.09	0.099	0.324	0.598	0.188	0.161	0.484	0.229	0.383	0.153	0.196
1	1	1	1	0.523	0.184	0.177	0.316	0.582	0.468	0.252	0.397	0.712	0.44	0.17	0.199	0.64	0.637	0.502	0.601
1	1	1	1	0.881	0.142	0.706	0.287	0.28	0.314	0.292	0.239	0.182	0.269	0.15	0.173	0.218	0.287	0.196	0.223
1	1	1	1	0.207	0.172	0.37	0.361	0.406	0.744	0.219	0.289	0.704	0.253	0.506	0.625	0.56	0.411	0.185	0.43
1	1	1	1	0.242	0.208	0.254	0.179	0.255	0.834	0.309	0.208	0.212	0.341	0.39	0.309	0.16	0.346	0.432	0.603
1	1	1	1	0.806	0.261	0.284	0.326	0.494	0.283	0.58	0.26	0.123	0.658	0.3	0.796	0.399	0.183	0.363	0.213
1	1	1	1	0.411	0.255	0.297	0.171	0.398	0.322	0.165	0.271	0.732	0.252	0.242	0.819	0.166	0.258	0.163	0.172
1	1	1	1	0.317	0.306	0.296	0.271	0.172	0.343	0.462	0.415	0.212	0.299	0.683	0.148	0.821	0.287	0.176	0.38
1	1	1	1	0.235	0.407	0.361	0.179	0.44	0.343	0.142	0.235	0.229	0.423	0.277	0.212	0.608	0.198	0.228	0.265
1	1	1	1	0.17	0.182	0.414	0.429	0.377	0.183	0.231	0.356	0.2	0.202	0.58	0.192	0.288	0.158	0.222	0.211
1	1	1	1	0.227	0.26	0.706	0.15	0.175	0.503	0.209	0.178	0.223	0.608	0.143	0.212	0.165	0.147	0.162	0.233
1	1	1	1	0.197	0.416	0.421	0.226	0.218	0.234	0.221	0.214	0.229	0.271	0.74	0.24	0.699	0.3	0.181	0.945
1	1	1	1	0.811	0.175	0.219	0.217	0.696	0.498	0.209	0.328	0.448	0.175	0.204	0.193	0.508	0.217	0.165	0.537
1	1	1	1	0.451	0.163	0.501	0.395	0.622	0.483	0.271	0.183	0.196	0.794	0.244	0.58	0.164	0.603	0.22	0.167
1	1	1	1	0.191	0.213	0.176	0.205	0.656	0.926	0.359	0.12	0.343	0.369	0.734	0.199	0.198	0.201	0.401	0.191
1	1	1	1	0.202	0.776	0.174	0.305	0.237	0.219	0.757	0.516	0.619	0.338	0.212	0.172	0.131	0.179	0.17	0.264
1	0.997	1	1	0.163	0.261	0.198	0.57	0.259	0.302	0.206	0.266	0.192	0.204	0.435	0.232	0.35	0.596	0.308	0.188
1	1	1	1	0.223	0.369	0.375	0.552	0.304	0.469	0.211	0.204	0.434	0.91	0.164	0.178	0.144	0.179	0.152	0.163
1	1	1	1	0.284	0.28	0.449	0.439	0.43	0.592	0.258	0.203	0.269	0.794	0.196	0.39	0.459	0.223	0.212	0.329
1	1	1	1	0.499	0.189	0.47	0.263	0.401	0.576	0.682	0.258	0.193	0.562	0.66	0.692	0.237	0.137	0.231	0.219
1	1	1	1	0.374	0.182	0.229	0.294	0.234	0.239	0.306	0.224	0.174	0.165	0.272	0.26	0.191	0.375	0.361	0.164
1	1	1	1	0.194	0.185	0.211	0.241	0.154	0.443	0.193	0.139	0.213	0.554	0.521	0.256	0.263	0.344	0.622	0.419
1	1	1	1	0.318	0.517	0.296	0.219	0.238	0.29	0.266	0.173	0.165	0.52	0.47	0.186	0.227	0.213	0.473	0.51
1	1	1	1	0.358	0.424	0.49	0.275	0.182	0.591	0.297	0.688	0.23	0.22	0.252	0.41	0.402	0.248	0.466	0.261
1	1	1	1	0.164	0.767	0.18	0.198	0.197	0.571	0.134	0.379	0.207	0.253	0.35	0.617	0.149	0.217	0.328	0.431
1	1	1	1	0.442	0.29	0.519	0.181	0.28	0.2	0.317	0.356	0.211	0.33	0.208	0.203	0.213	0.165	0.788	0.488
1	1	1	1	0.21	0.232	0.207	0.792	0.236	0.154	0.253	0.196	0.247	0.662	0.177	0.235	0.203	0.475	0.188	0.204
1	1	1	1	0.243	0.173	0.193	0.187	0.163	0.789	0.35	0.22	0.539	0.144	0.358	0.709	0.703	0.261	0.298	0.438
1	1	1	1	0.558	0.327	0.198	0.188	0.173	0.25	0.298	0.243	0.56	0.301	0.344	0.166	0.73	0.657	0.533	0.428
1	1	1	1	0.455	0.195	0.422	0.178	0.356	0.453	0.269	0.641	0.179	0.27	0.447	0.262	0.23	0.241	0.188	0.444
1	1	1	1	0.343	0.315	0.222	0.808	0.214	0.575	0.578	0.174	0.23	0.202	0.764	0.166	0.565	0.212	0.53	0.317
1	1	1	1	0.616	0.31	0.157	0.178	0.53	0.259	0.2	0.237	0.182	0.152	0.346	0.888	0.404	0.247	0.163	0.231
1	1	1	1	0.302	0.153	0.23	0.133	0.202	0.384	0.139	0.414	0.701	0.755	0.203	0.825	0.153	0.221	0.218	0.345
