estimate	bias	sd	sdBoot	RMSE	coverage	widthCI	num.sim	truth
pencomp_trueOutcomePred_bagging	2.00437804017078	0.00437804017077579	0.142527193422627	0.160182970956643	0.142451886961662	0.974	0.627917246150039	500	2
pencomp_trueOutcomePred_rubin	2.00748412578119	0.00748412578119478	0.142408077013145	0.14912764463492	0.142462319286517	0.964	0.584774745326649	500	2
pencomp_trueConf_bagging	2.00362787312577	0.00362787312576778	0.142720064871469	0.160498114731646	0.142623421451384	0.97	0.629152609748054	500	2
pencomp_trueConf_rubin	2.00676706188634	0.00676706188634401	0.14260382760642	0.148425521854055	0.142621783298623	0.96	0.582018578678506	500	2
pencomp_truePropen_bagging	2.00125568008075	0.00125568008074881	0.190313883511934	0.204097064491352	0.190127620932216	0.964	0.800060492806099	500	2
pencomp_truePropen_rubin	2.00444861493	0.00444861493000192	0.189514694623045	0.215443715199463	0.18937734292651	0.966	0.845113083472591	500	2
pencomp_allPot_bagging	1.99439018753477	-0.00560981246522971	0.195770640448479	0.207713713016925	0.195655210434528	0.96	0.814237755026345	500	2
pencomp_allPot_rubin	1.99824715037027	-0.00175284962973284	0.190082505705708	0.256716876193632	0.189900417954343	0.984	1.00714198521773	500	2
pencomp_lassoOutcome_bagging	1.99906111462567	-0.000938885374326583	0.167187890741617	0.181216497306499	0.167023258065323	0.96	0.710368669441477	500	2
pencomp_lassoOutcome_rubin	2.00003377542783	3.3775427833417e-05	0.16577031592244	0.194516249535097	0.165604466082661	0.974	0.762973513989341	500	2
pencomp_lassoSep_bagging	1.99708353430404	-0.00291646569596348	0.195038881161853	0.205950562116435	0.194865570603669	0.96	0.807326203496426	500	2
pencomp_lassoSep_rubin	1.99837970392586	-0.00162029607413643	0.190708021031982	0.254120835615103	0.190524107521151	0.984	0.996955201998998	500	2
pencomp_lassoStepwiseT_bagging	1.99656876181143	-0.00343123818857024	0.148580671275069	0.166730862954885	0.148471670160687	0.976	0.65358498278315	500	2
pencomp_lassoStepwiseT_rubin	1.99595939729595	-0.00404060270404518	0.148596951517872	0.168058288442536	0.148503260444396	0.974	0.659103313883362	500	2
pencomp_lassoStepwiseY_bagging	1.99647957856508	-0.00352042143492261	0.147795774610701	0.166056088662995	0.147689868230259	0.978	0.650939867558943	500	2
pencomp_lassoStepwiseY_rubin	1.99584734320738	-0.00415265679261701	0.147834437674722	0.166546227030857	0.147744900010502	0.974	0.653166750671043	500	2
pencomp_stepwise_bagging	1.99527003600245	-0.0047299639975508	0.19626412101186	0.207766545185277	0.196124803494059	0.962	0.814444857126288	500	2
pencomp_stepwise_rubin	1.9983622318668	-0.00163776813320299	0.193930575242093	0.25778709879086	0.193743469985854	0.982	1.01134102603262	500	2
pencomp_allLasso_bagging	1.99746184505071	-0.00253815494929332	0.167230569757473	0.181199957227323	0.167082535188549	0.96	0.710303832331108	500	2
pencomp_allLasso_rubin	1.99662592230296	-0.00337407769704312	0.165866989220669	0.194510067202211	0.16573538788445	0.972	0.762949483018385	500	2
aiptw_trueOutcomePred_standard	2.0066808691774	0.00668086917739541	0.143425569201397	0.146978720073856	0.143437743031284	0.956	0.576156582689517	500	2
aiptw_trueOutcomePred_bagging	2.00667631028195	0.00667631028194887	0.143200776799033	0.157950263547742	0.143213207037185	0.968	0.61916503310715	500	2
aiptw_trueConf_standard	2.00674493781102	0.0067449378110228	0.143704879993078	0.146675537871585	0.143719464704096	0.954	0.574968108456614	500	2
aiptw_trueConf_bagging	2.00673832948565	0.00673832948565362	0.143564745919082	0.15800926213257	0.143579314953534	0.958	0.619396307559676	500	2
aiptw_truePropen_standard	2.00340113956034	0.00340113956034304	0.20294314653261	0.190317164461207	0.202768628326515	0.948	0.746043284687932	500	2
aiptw_truePropen_bagging	2.00322094927927	0.0032209492792714	0.193263231876118	0.1937133154916	0.193096737299912	0.962	0.759356196727073	500	2
aiptw_allPot_standard	2.00415754642845	0.00415754642844654	0.242251881281909	0.284854418361208	0.242045217323044	0.984	1.11662931997593	500	2
aiptw_allPot_bagging	2.00158062023033	0.00158062023032778	0.232547114163206	0.22531159525464	0.232319827705981	0.948	0.88322145339819	500	2
aiptw_lassoOutcome_standard	1.99884871338344	-0.00115128661655609	0.172139650930264	0.191297376482344	0.171971278893953	0.968	0.749885715810787	500	2
aiptw_lassoOutcome_bagging	1.99896118298813	-0.00103881701187336	0.168385876294317	0.177850323570766	0.168220613687855	0.962	0.697173268397403	500	2
aiptw_lassoSep_standard	1.99950804720588	-0.00049195279412125	0.236061416797027	0.273312083136829	0.235825750359818	0.982	1.07138336589637	500	2
aiptw_lassoSep_bagging	2.00064055618434	0.000640556184339244	0.224102185010037	0.216609060375096	0.223878887034588	0.946	0.849107516670376	500	2
aiptw_lassoStepwiseT_standard	2.00570260742116	0.00570260742116251	0.145331482298256	0.165791436580344	0.145298028200365	0.964	0.649902431394949	500	2
aiptw_lassoStepwiseT_bagging	1.99739758186513	-0.00260241813487433	0.149362738018249	0.16432377566474	0.149235993089603	0.97	0.644149200605781	500	2
aiptw_lassoStepwiseY_standard	2.00662513141769	0.00662513141769343	0.144816197065852	0.164845469272819	0.14482292579924	0.966	0.646194239549451	500	2
aiptw_lassoStepwiseY_bagging	1.99734396927348	-0.00265603072651753	0.148817266226592	0.163962520673695	0.148692098206066	0.97	0.642733081040885	500	2
aiptw_stepwise_standard	1.99614180282001	-0.00385819717999312	0.230832322749868	0.26423453358253	0.230633648432155	0.98	1.03579937164352	500	2
aiptw_stepwise_bagging	2.00049161588798	0.000491615887976562	0.216995066096227	0.211629042908555	0.216778519874242	0.946	0.829585848201537	500	2
aiptw_allLasso_standard	1.99885795358721	-0.00114204641279323	0.172252096902783	0.191443514595986	0.172083548277108	0.968	0.750458577216263	500	2
aiptw_allLasso_bagging	1.9988884031736	-0.00111159682639726	0.168378574656125	0.177867308665771	0.168213784696518	0.962	0.697239849969821	500	2
iptw_trueOutcomePred_standard	2.00905728111683	0.00905728111682766	0.145114277465037	0.152338129169089	0.145251752341858	0.96	0.597165466342828	500	2
iptw_trueOutcomePred_bagging	2.0091707077596	0.00917070775959672	0.144877132201186	0.161708838136279	0.145022434639549	0.972	0.633898645494212	500	2
iptw_trueConf_standard	2.0062794264711	0.00627942647110052	0.186253099893346	0.192803225463851	0.186172683233193	0.962	0.755788643818294	500	2
iptw_trueConf_bagging	2.00648552565348	0.00648552565347878	0.186124087284357	0.208505365424705	0.18605094345018	0.98	0.817341032464844	500	2
iptw_truePropen_standard	2.01102232053668	0.011022320536684	0.290986243103788	0.26385338609466	0.290904003475921	0.936	1.03430527349107	500	2
iptw_truePropen_bagging	2.01817521729067	0.0181752172906725	0.277277278762033	0.268299948489457	0.277595501517237	0.938	1.05173579807867	500	2
iptw_allPot_standard	2.01138236523654	0.0113823652365353	0.312818156902272	0.402832493364186	0.312712403219854	0.986	1.57910337398761	500	2
iptw_allPot_bagging	2.00517150499417	0.00517150499416615	0.293782701174256	0.297976303474976	0.293534330908888	0.972	1.16806710962191	500	2
iptw_lassoOutcome_standard	2.00223078911494	0.00223078911494254	0.180480075701768	0.224946599691883	0.180313305193878	0.984	0.881790670792182	500	2
iptw_lassoOutcome_bagging	2.00472277442839	0.00472277442839157	0.178083057067644	0.192195820571492	0.17796756070259	0.97	0.753407616640249	500	2
iptw_lassoSep_standard	2.01456501274365	0.0145650127436456	0.304614476242046	0.384635736940984	0.30465806861819	0.992	1.50777208880866	500	2
iptw_lassoSep_bagging	2.01584145561054	0.0158414556105364	0.282222713096338	0.283190056606444	0.282385042422122	0.964	1.11010502189726	500	2
iptw_lassoStepwiseT_standard	2.00761435544587	0.00761435544586934	0.146916880755441	0.174996969024219	0.14696727227537	0.978	0.68598811857494	500	2
iptw_lassoStepwiseT_bagging	2.00240440725102	0.00240440725101614	0.150741694065493	0.168480997385446	0.15061007067027	0.968	0.660445509750948	500	2
iptw_lassoStepwiseY_standard	2.00907222982455	0.0090722298245507	0.146196965442276	0.174183817167243	0.146332193836867	0.978	0.682800563295592	500	2
