estimate	bias	sd	sdBoot	RMSE	coverage	widthCI	num.sim	truth
pencomp_trueOutcomePred_bagging	2.00074857920036	0.000748579200362339	0.072130247902552	0.10730392046965	0.0720619697758662	0.996	0.420631368241029	500	2
pencomp_trueOutcomePred_rubin	2.00044477921285	0.000444779212848737	0.0721144425914002	0.0736887030906109	0.0720436650452765	0.952	0.288992968749645	500	2
pencomp_trueConf_bagging	2.00057716822157	0.000577168221566206	0.072164745275394	0.107319556458613	0.0720948547602196	0.996	0.420692661317762	500	2
pencomp_trueConf_rubin	2.00027670315861	0.000276703158613895	0.0721614523639889	0.0736118804642946	0.0720897858333874	0.954	0.288691358379342	500	2
pencomp_truePropen_bagging	2.00477660844563	0.00477660844563226	0.0942240914346121	0.139796532301903	0.0942509365264223	0.996	0.54800240662346	500	2
pencomp_truePropen_rubin	2.00444726412062	0.00444726412061545	0.0941974035625233	0.100852920384985	0.0942081880433094	0.962	0.395640393208103	500	2
pencomp_allPot_bagging	2.00451320414397	0.00451320414396856	0.0946301174399608	0.139980680251424	0.0946431107904453	0.994	0.548724266585582	500	2
pencomp_allPot_rubin	2.00413990308316	0.00413990308316293	0.0940646244762197	0.102614976917384	0.0940616609901958	0.966	0.402558477762609	500	2
pencomp_lassoOutcome_bagging	2.00353388148938	0.00353388148937989	0.0779538923799058	0.120079760747296	0.0779560391302981	0.996	0.4707126621294	500	2
pencomp_lassoOutcome_rubin	2.00280203939718	0.00280203939717788	0.0778440168839054	0.0868689319916926	0.0778165985344762	0.974	0.34074069809233	500	2
pencomp_lassoSep_bagging	2.0051786195867	0.00517861958670291	0.0941588601729645	0.13939209747975	0.0942070977580645	0.994	0.54641702212062	500	2
pencomp_lassoSep_rubin	2.00456823760441	0.00456823760440698	0.0937631691665191	0.102452055844452	0.0937806889672672	0.966	0.401918206741914	500	2
pencomp_lassoStepwiseT_bagging	2.02000344189689	0.0200034418968862	0.0777582083232175	0.122430968746889	0.0802146119571473	0.998	0.479929397487803	500	2
pencomp_lassoStepwiseT_rubin	2.02047503342862	0.0204750334286243	0.0777159839110183	0.0886240844586842	0.080292724457764	0.976	0.347631834984458	500	2
pencomp_lassoStepwiseY_bagging	2.02066137229698	0.0206613722969761	0.0780044792974983	0.12280871496914	0.0806189909269965	0.998	0.481410162679029	500	2
pencomp_lassoStepwiseY_rubin	2.02113443808922	0.021134438089215	0.0779612364267002	0.0889615088549668	0.0806998324022817	0.976	0.348956580679941	500	2
pencomp_stepwise_bagging	2.00465647134844	0.00465647134844343	0.0937965887917514	0.139683405647497	0.0938183734363895	0.994	0.547558950138186	500	2
pencomp_stepwise_rubin	2.00431204070511	0.0043120407051068	0.0935450749526504	0.10259479434399	0.0935509133084423	0.966	0.402479508485674	500	2
pencomp_allLasso_bagging	2.00274345548468	0.00274345548468446	0.0779614069195205	0.120212582332856	0.0779317108430821	0.996	0.471233322744795	500	2
pencomp_allLasso_rubin	2.00338060832656	0.00338060832655538	0.0778329050056626	0.0871241382688629	0.0778284889489372	0.974	0.341742547844103	500	2
aiptw_trueOutcomePred_standard	2.00202800088367	0.0020280008836678	0.0737556557214332	0.0744156467035613	0.0737097669578526	0.952	0.29170933507796	500	2
aiptw_trueOutcomePred_bagging	2.00201853992781	0.00201853992780624	0.0735825627202036	0.104539548755686	0.0735366524451575	0.992	0.409795031122287	500	2
aiptw_trueConf_standard	2.00209226003668	0.0020922600366793	0.0736637369788536	0.0742465240827292	0.0736197731961966	0.948	0.291046374404298	500	2
aiptw_trueConf_bagging	2.00207076638211	0.00207076638211396	0.0734892380172283	0.10439489533185	0.0734449102494748	0.994	0.40922798970085	500	2
aiptw_truePropen_standard	2.00472974470309	0.0047297447030896	0.117176435671224	0.10598963720211	0.117154713637206	0.942	0.415479377832273	500	2
aiptw_truePropen_bagging	2.00482717210069	0.00482717210069433	0.112115541315741	0.1473770996085	0.112107343228721	0.994	0.577718230465321	500	2
aiptw_allPot_standard	2.00409516409325	0.0040951640932497	0.129798303642969	0.114276407219983	0.12973309060639	0.95	0.447963516302333	500	2
aiptw_allPot_bagging	2.00383769851356	0.00383769851355772	0.121855259283805	0.155085137987547	0.121793820600941	0.99	0.607933740911184	500	2
aiptw_lassoOutcome_standard	2.00464472524813	0.00464472524812623	0.0810516533219582	0.0904188341336221	0.0811036696940467	0.97	0.354441829803799	500	2
aiptw_lassoOutcome_bagging	2.00477732861029	0.00477732861029074	0.0801535031787499	0.12067156702253	0.0802156952991926	0.994	0.473032542728316	500	2
aiptw_lassoSep_standard	2.00653797506293	0.00653797506292807	0.123779116164915	0.11014737010664	0.123827994319919	0.936	0.431777690818029	500	2
aiptw_lassoSep_bagging	2.00529465383867	0.0052946538386705	0.114293599579694	0.149433622215353	0.114301943160845	0.992	0.585779799084182	500	2
aiptw_lassoStepwiseT_standard	2.02249536774915	0.0224953677491509	0.0913169611123356	0.089027402399431	0.0939582427580878	0.94	0.34898741740577	500	2
aiptw_lassoStepwiseT_bagging	2.02131616655941	0.0213161665594109	0.0781272834609098	0.119479523930513	0.0809076240717025	0.996	0.468359733807611	500	2
aiptw_lassoStepwiseY_standard	2.02302322131416	0.0230232213141625	0.0913163614139402	0.0894954395880406	0.0940854357796066	0.944	0.350822123185119	500	2
aiptw_lassoStepwiseY_bagging	2.02194564771756	0.0219456477175588	0.0784439081194203	0.120002043300261	0.0813802880392368	0.996	0.470408009737025	500	2
aiptw_stepwise_standard	2.00348390673833	0.00348390673833378	0.126645829311805	0.113837108058437	0.126567078484383	0.946	0.446241463589074	500	2
aiptw_stepwise_bagging	2.00432275473501	0.00432275473500696	0.117729123131474	0.153516246338689	0.117690748782299	0.992	0.601783685647662	500	2
aiptw_allLasso_standard	2.00476098466426	0.00476098466426487	0.0812596713859344	0.090423542249688	0.0813178633532381	0.97	0.354460285618777	500	2
aiptw_allLasso_bagging	2.00476498958974	0.0047649895897372	0.0801436553388601	0.120674288244415	0.0802051407696674	0.994	0.473043209918106	500	2
iptw_trueOutcomePred_standard	2.00678134856263	0.00678134856263371	0.0776093907619846	0.0774949326806546	0.0778277443313466	0.938	0.303780136108166	500	2
iptw_trueOutcomePred_bagging	2.00727079897633	0.00727079897633134	0.0774547327394961	0.108717944376096	0.0777180910100955	0.99	0.426174341954297	500	2
iptw_trueConf_standard	2.00819455022906	0.0081945502290624	0.0979694011075738	0.0969595802183019	0.0982138391456446	0.948	0.380081554455743	500	2
iptw_trueConf_bagging	2.00869917354923	0.0086991735492278	0.09790768560117	0.136286628740957	0.098195818090271	0.992	0.53424358466455	500	2
iptw_truePropen_standard	2.01377309213051	0.0137730921305049	0.156737288089786	0.141535579103048	0.157185057781014	0.946	0.554819470083949	500	2
iptw_truePropen_bagging	2.01667331664281	0.0166733166428086	0.151366328628789	0.19691487312158	0.152131329447766	0.99	0.771906302636594	500	2
