estimate	bias	sd	sdBoot	RMSE	coverage	widthCI	num.sim	truth
pencomp_trueOutcomePred_bagging	2.00662972340895	0.00662972340895283	0.159058060975973	0.180017631662509	0.159037168801487	0.976	0.705669116117034	500	2
pencomp_trueOutcomePred_rubin	2.00950704415127	0.00950704415127182	0.158827452380955	0.177265966908807	0.158953110064129	0.972	0.695238505350191	500	2
pencomp_trueConf_bagging	2.0054662821767	0.00546628217670084	0.15868785243276	0.180928001715005	0.158623299302269	0.976	0.70923776672282	500	2
pencomp_trueConf_rubin	2.00830658709029	0.00830658709028532	0.158689556265762	0.176165740342415	0.158748259538104	0.97	0.690918683145027	500	2
pencomp_truePropen_bagging	2.0030773074896	0.00307730748960141	0.207610082403993	0.234873388887254	0.207425196744625	0.968	0.920703684438036	500	2
pencomp_truePropen_rubin	2.00592783008669	0.00592783008669	0.206661218107897	0.261049229127546	0.20653953742864	0.984	1.02413984923167	500	2
pencomp_allPot_bagging	2.00234746892471	0.00234746892471345	0.22077048615859	0.243194132450849	0.220562097727454	0.966	0.953320999207328	500	2
pencomp_allPot_rubin	2.00516381848069	0.0051638184806909	0.21507659074509	0.329475903537973	0.214923449227997	0.992	1.29274586824884	500	2
pencomp_lassoOutcome_bagging	2.00466889637488	0.00466889637488022	0.178027934752001	0.198210853685435	0.177911090869339	0.97	0.776986546446904	500	2
pencomp_lassoOutcome_rubin	2.00550374342356	0.0055037434235589	0.176803096832061	0.229394061701238	0.176711933866903	0.984	0.899893796617686	500	2
pencomp_lassoSep_bagging	2.00552173541326	0.00552173541326452	0.216912794753558	0.240106492686489	0.216766113054411	0.96	0.941217451331035	500	2
pencomp_lassoSep_rubin	2.00633215278546	0.00633215278546037	0.212660859101364	0.326212079787949	0.212542437810996	0.994	1.27993860933004	500	2
pencomp_lassoStepwiseT_bagging	2.00259425444331	0.00259425444331342	0.164473723693431	0.185157276972264	0.164329646534423	0.976	0.725816525731275	500	2
pencomp_lassoStepwiseT_rubin	2.00197475950207	0.00197475950207034	0.164337122421543	0.197462857776835	0.164184579365032	0.976	0.774538736856101	500	2
pencomp_lassoStepwiseY_bagging	2.00218762905731	0.0021876290573112	0.163962964175715	0.184776269435167	0.163813527020623	0.974	0.724322976185856	500	2
pencomp_lassoStepwiseY_rubin	2.00158174210232	0.00158174210231784	0.163861427037829	0.196311433405688	0.163705125284489	0.976	0.770018059271359	500	2
pencomp_stepwise_bagging	2.00247411472729	0.00247411472729358	0.216914137901894	0.241557203761759	0.21671123870017	0.968	0.946904238746097	500	2
pencomp_stepwise_rubin	2.00502608980937	0.00502608980936565	0.214324561114994	0.328671313679171	0.214169113181412	0.994	1.28958637956367	500	2
pencomp_allLasso_bagging	2.0030054834688	0.00300548346880488	0.178217866281036	0.198405365223927	0.17806492517316	0.97	0.777749031677792	500	2
pencomp_allLasso_rubin	2.00207027473788	0.00207027473788117	0.177073461272109	0.229729105070284	0.176908413318874	0.988	0.901209120438464	500	2
