Xc1	Xc2	Xp1	Xp2	Xi1	Xi2	Xs1	Xs2	Xs3	Xs4	Xs5	Xs6	Xs7	Xs8	Xs9	Xs10	Xs11	Xs12	Xs13	Xs14
0.801	0.854	1	1	0.531	0.207	0.811	0.367	0.181	0.416	0.281	0.57	0.109	0.311	0.245	0.173	0.306	0.113	0.111	0.68
0.458	0.523	1	1	0.519	0.215	0.385	0.33	0.212	0.33	0.229	0.235	0.154	0.18	0.183	0.437	0.329	0.322	0.114	0.2
0.371	0.601	1	1	0.298	0.315	0.154	0.206	0.252	0.174	0.213	0.3	0.173	0.166	0.261	0.163	0.198	0.454	0.351	0.335
0.414	0.929	1	1	0.659	0.581	0.193	0.571	0.243	0.154	0.197	0.332	0.563	0.225	0.171	0.182	0.139	0.461	0.137	0.222
0.981	0.963	1	1	0.452	0.205	0.195	0.184	0.194	0.341	0.182	0.534	0.253	0.558	0.557	0.188	0.462	0.386	0.215	0.266
0.543	0.718	1	1	0.452	0.22	0.275	0.218	0.259	0.918	0.433	0.187	0.533	0.139	0.127	0.624	0.322	0.168	0.526	0.271
0.9	0.714	1	1	0.47	0.132	0.369	0.119	0.102	0.047	0.063	0.236	0.421	0.093	0.112	0.42	0.159	0.265	0.079	0.128
0.234	0.223	1	1	0.585	0.2	0.14	0.295	0.568	0.439	0.199	0.393	0.672	0.407	0.144	0.15	0.607	0.62	0.488	0.565
0.986	0.894	1	1	0.856	0.169	0.602	0.238	0.243	0.251	0.23	0.213	0.128	0.206	0.126	0.138	0.195	0.196	0.154	0.176
0.98	0.679	1	1	0.268	0.195	0.341	0.37	0.365	0.769	0.173	0.262	0.726	0.21	0.425	0.646	0.573	0.32	0.156	0.411
0.786	0.375	1	1	0.313	0.258	0.235	0.147	0.216	0.798	0.347	0.193	0.179	0.324	0.367	0.29	0.143	0.302	0.392	0.604
0.272	0.717	1	1	0.822	0.329	0.222	0.264	0.414	0.236	0.531	0.224	0.089	0.572	0.295	0.742	0.374	0.145	0.319	0.17
0.988	0.594	1	1	0.453	0.354	0.286	0.186	0.423	0.32	0.186	0.277	0.709	0.267	0.25	0.83	0.17	0.262	0.166	0.181
0.668	0.622	1	1	0.356	0.354	0.244	0.226	0.124	0.316	0.392	0.376	0.155	0.3	0.672	0.099	0.82	0.215	0.173	0.314
0.928	0.972	1	1	0.284	0.431	0.333	0.111	0.396	0.289	0.138	0.16	0.17	0.285	0.212	0.195	0.53	0.156	0.202	0.202
0.984	0.772	1	1	0.184	0.194	0.382	0.387	0.377	0.188	0.183	0.318	0.18	0.179	0.593	0.136	0.277	0.131	0.176	0.171
0.899	0.827	1	1	0.249	0.223	0.651	0.132	0.149	0.429	0.162	0.144	0.164	0.518	0.113	0.181	0.147	0.096	0.131	0.223
1	0.443	1	1	0.202	0.413	0.353	0.16	0.176	0.17	0.16	0.139	0.178	0.231	0.612	0.142	0.629	0.258	0.131	0.888
0.805	0.991	1	1	0.833	0.202	0.184	0.194	0.652	0.45	0.158	0.292	0.403	0.171	0.155	0.134	0.437	0.205	0.128	0.487
0.971	0.957	1	1	0.438	0.152	0.466	0.344	0.518	0.425	0.22	0.148	0.145	0.71	0.207	0.509	0.121	0.579	0.181	0.128
0.788	0.928	1	1	0.215	0.182	0.176	0.168	0.557	0.878	0.31	0.099	0.259	0.297	0.69	0.152	0.159	0.145	0.344	0.156
0.987	0.922	1	1	0.238	0.801	0.113	0.23	0.169	0.166	0.66	0.448	0.557	0.26	0.161	0.104	0.089	0.133	0.119	0.219
0.69	0.238	1	1	0.209	0.318	0.163	0.555	0.218	0.278	0.192	0.197	0.18	0.168	0.457	0.215	0.322	0.538	0.261	0.181
0.873	0.994	1	1	0.187	0.35	0.292	0.461	0.214	0.353	0.131	0.133	0.339	0.829	0.131	0.128	0.118	0.151	0.112	0.128
0.986	0.985	1	1	0.268	0.352	0.371	0.43	0.393	0.532	0.193	0.166	0.2	0.675	0.122	0.392	0.39	0.164	0.167	0.29
0.989	0.999	1	1	0.457	0.145	0.316	0.137	0.249	0.379	0.543	0.139	0.089	0.345	0.498	0.506	0.14	0.058	0.119	0.1
0.904	0.439	1	1	0.508	0.239	0.223	0.306	0.213	0.232	0.273	0.198	0.134	0.141	0.248	0.238	0.174	0.339	0.333	0.16
0.913	0.919	1	1	0.19	0.24	0.139	0.175	0.133	0.352	0.173	0.092	0.179	0.493	0.452	0.241	0.192	0.3	0.528	0.395
0.98	0.998	1	1	0.322	0.493	0.179	0.151	0.2	0.224	0.181	0.108	0.099	0.438	0.41	0.125	0.144	0.154	0.364	0.44
0.978	0.945	1	1	0.378	0.442	0.437	0.226	0.116	0.516	0.264	0.616	0.164	0.17	0.175	0.357	0.325	0.182	0.399	0.195
0.995	0.912	1	1	0.148	0.764	0.145	0.169	0.184	0.539	0.098	0.322	0.158	0.234	0.312	0.604	0.147	0.201	0.3	0.439
0.901	0.982	1	1	0.447	0.253	0.377	0.113	0.179	0.138	0.221	0.234	0.139	0.236	0.127	0.135	0.161	0.108	0.658	0.342
0.441	0.639	1	1	0.248	0.314	0.184	0.745	0.231	0.154	0.216	0.206	0.226	0.639	0.175	0.222	0.208	0.427	0.156	0.172
0.993	0.943	1	1	0.229	0.168	0.129	0.193	0.09	0.734	0.275	0.166	0.411	0.092	0.27	0.599	0.618	0.184	0.247	0.37
0.252	0.949	1	1	0.611	0.276	0.142	0.123	0.122	0.187	0.217	0.155	0.465	0.207	0.276	0.115	0.661	0.627	0.431	0.292
0.829	0.979	1	1	0.482	0.221	0.402	0.141	0.302	0.429	0.233	0.571	0.16	0.217	0.417	0.252	0.237	0.209	0.147	0.374
0.95	0.87	1	1	0.299	0.31	0.182	0.786	0.134	0.511	0.447	0.144	0.169	0.156	0.709	0.123	0.483	0.159	0.459	0.247
0.995	0.303	1	1	0.595	0.232	0.117	0.128	0.472	0.234	0.153	0.166	0.111	0.113	0.255	0.844	0.345	0.172	0.117	0.166
0.991	0.992	1	1	0.416	0.226	0.225	0.14	0.228	0.421	0.128	0.397	0.677	0.783	0.223	0.875	0.158	0.192	0.217	0.367
0.932	0.767	1	1	0.398	0.389	0.51	0.498	0.81	0.173	0.442	0.18	0.217	0.169	0.216	0.186	0.198	0.373	0.352	0.165
0.252	0.856	1	1	0.497	0.291	0.488	0.63	0.198	0.377	0.331	0.233	0.194	0.191	0.571	0.211	0.238	0.611	0.354	0.323
0.983	0.908	1	1	0.446	0.63	0.18	0.231	0.349	0.336	0.424	0.311	0.169	0.221	0.504	0.15	0.397	0.275	0.25	0.264
0.965	0.884	1	1	0.491	0.25	0.136	0.215	0.157	0.323	0.109	0.347	0.319	0.501	0.163	0.161	0.207	0.614	0.194	0.209
0.825	0.952	1	1	0.533	0.351	0.152	0.222	0.335	0.249	0.359	0.262	0.156	0.133	0.281	0.212	0.354	0.193	0.207	0.261
0.97	1	1	1	0.456	0.159	0.171	0.508	0.464	0.936	0.233	0.356	0.196	0.334	0.153	0.222	0.403	0.316	0.128	0.199
0.625	0.865	1	1	0.346	0.131	0.086	0.08	0.294	0.147	0.154	0.197	0.129	0.127	0.175	0.158	0.203	0.604	0.138	0.159
0.466	0.982	1	1	0.403	0.471	0.511	0.747	0.332	0.214	0.587	0.412	0.264	0.177	0.194	0.217	0.234	0.201	0.284	0.362
0.998	0.89	1	1	0.206	0.198	0.147	0.285	0.202	0.365	0.266	0.271	0.184	0.419	0.611	0.155	0.434	0.184	0.117	0.153
0.721	0.971	1	1	0.437	0.534	0.474	0.294	0.21	0.165	0.588	0.213	0.47	0.341	0.145	0.18	0.275	0.471	0.164	0.173
0.998	0.874	1	1	0.306	0.613	0.3	0.275	0.475	0.445	0.234	0.276	0.288	0.21	0.245	0.196	0.204	0.401	0.175	0.174
0.409	0.278	1	1	0.203	0.259	0.429	0.25	0.16	0.186	0.162	0.138	0.373	0.505	0.16	0.564	0.146	0.543	0.246	0.175
0.924	0.489	1	1	0.348	0.289	0.247	0.678	0.137	0.138	0.212	0.339	0.171	0.513	0.277	0.174	0.132	0.133	0.249	0.422
0.985	0.972	1	1	0.459	0.429	0.173	0.317	0.234	0.251	0.109	0.832	0.158	0.48	0.209	0.854	0.381	0.225	0.199	0.118
0.972	0.385	1	1	0.483	0.382	0.17	0.096	0.135	0.131	0.304	0.143	0.106	0.14	0.503	0.113	0.154	0.1	0.315	0.14
0.985	0.937	1	1	0.585	0.294	0.263	0.325	0.187	0.498	0.158	0.383	0.441	0.159	0.177	0.446	0.155	0.69	0.339	0.516
0.834	0.994	1	1	0.553	0.152	0.259	0.151	0.261	0.101	0.088	0.1	0.382	0.106	0.31	0.168	0.394	0.146	0.189	0.117
0.54	0.944	1	1	0.472	0.317	0.17	0.098	0.281	0.161	0.138	0.327	0.09	0.175	0.08	0.771	0.714	0.317	0.173	0.097
0.934	0.916	1	1	0.443	0.691	0.417	0.355	0.463	0.213	0.169	0.234	0.697	0.194	0.433	0.153	0.177	0.185	0.325	0.292
0.943	0.78	1	1	0.186	0.231	0.171	0.162	0.503	0.26	0.196	0.427	0.377	0.168	0.228	0.447	0.237	0.378	0.864	0.52
0.264	0.731	1	1	0.228	0.246	0.292	0.412	0.208	0.338	0.167	0.216	0.898	0.215	0.606	0.194	0.3	0.589	0.257	0.163
0.715	0.506	1	1	0.238	0.944	0.181	0.601	0.627	0.204	0.55	0.584	0.142	0.097	0.318	0.321	0.379	0.461	0.422	0.147
0.921	0.753	1	1	0.257	0.249	0.212	0.163	0.082	0.171	0.29	0.241	0.588	0.233	0.109	0.161	0.129	0.255	0.256	0.426
0.991	0.889	0.996	1	0.563	0.589	0.156	0.154	0.441	0.52	0.132	0.153	0.43	0.231	0.156	0.156	0.145	0.149	0.252	0.457
0.991	0.632	1	1	0.76	0.449	0.123	0.235	0.194	0.28	0.138	0.253	0.248	0.093	0.527	0.078	0.242	0.863	0.659	0.109
0.885	0.616	1	1	0.201	0.57	0.285	0.27	0.2	0.193	0.403	0.26	0.177	0.178	0.626	0.425	0.642	0.268	0.126	0.653
0.698	0.809	1	1	0.435	0.205	0.369	0.767	0.173	0.147	0.445	0.172	0.161	0.237	0.134	0.168	0.231	0.526	0.328	0.127
0.857	0.21	1	1	0.52	0.142	0.164	0.137	0.661	0.832	0.139	0.074	0.919	0.847	0.315	0.163	0.544	0.58	0.176	0.24
0.357	0.444	1	1	0.317	0.329	0.453	0.375	0.174	0.161	0.408	0.311	0.667	0.282	0.807	0.378	0.332	0.175	0.328	0.209
0.683	0.389	1	1	0.329	0.394	0.213	0.126	0.28	0.563	0.446	0.236	0.524	0.137	0.357	0.649	0.144	0.208	0.166	0.164
0.918	0.891	1	1	0.297	0.38	0.12	0.151	0.258	0.545	0.129	0.165	0.381	0.252	0.099	0.618	0.362	0.325	0.205	0.52
0.948	0.957	1	1	0.419	0.372	0.134	0.333	0.736	0.433	0.21	0.468	0.522	0.149	0.763	0.449	0.41	0.257	0.236	0.18
0.62	0.839	1	1	0.195	0.221	0.14	0.131	0.266	0.163	0.238	0.249	0.356	0.586	0.148	0.237	0.187	0.163	0.201	0.223
0.199	0.215	1	1	0.506	0.166	0.161	0.095	0.183	0.315	0.12	0.484	0.673	0.307	0.731	0.166	0.09	0.315	0.232	0.137
0.81	0.519	1	1	0.264	0.234	0.177	0.17	0.081	0.128	0.428	0.142	0.112	0.147	0.271	0.307	0.242	0.125	0.143	0.193
0.624	0.984	1	1	0.208	0.274	0.162	0.128	0.19	0.233	0.196	0.108	0.126	0.583	0.779	0.168	0.527	0.329	0.146	0.384
0.963	0.995	1	1	0.815	0.218	0.148	0.3	0.328	0.227	0.516	0.207	0.171	0.142	0.436	0.404	0.32	0.325	0.423	0.141
0.99	0.729	1	1	0.187	0.236	0.335	0.205	0.299	0.647	0.458	0.101	0.306	0.283	0.185	0.366	0.155	0.075	0.482	0.851
0.564	1	1	1	0.495	0.208	0.434	0.715	0.178	0.158	0.09	0.328	0.142	0.138	0.2	0.108	0.168	0.124	0.127	0.323
